Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
401,28 Feb 1954, 24:00, , , ,14.678, , , , , , 
402,31 Mar 1954, 24:00, , , ,15.702, , , , , , 
403,30 Apr 1954, 24:00, , , ,15.180, , , , , , 
404,31 May 1954, 24:00, , , ,15.652, , , , , , 
405,30 Jun 1954, 24:00, , , ,14.979, , , , , , 
406,31 Jul 1954, 24:00, , , ,14.508, , , , , , 
407,31 Aug 1954, 24:00, , , ,15.230, , , , , , 
408,30 Sep 1954, 24:00, , , ,11.990, , , , , , 
409,31 Oct 1954, 24:00, , , ,0.611, , , , , , 
410,30 Nov 1954, 24:00, , , ,5.551, , , , , , 
411,31 Dec 1954, 24:00, , , ,12.175, , , , , , 
412,31 Jan 1955, 24:00, , , ,7.265, , , , , , 
413,28 Feb 1955, 24:00, , , ,12.134, , , , , , 
414,31 Mar 1955, 24:00, , , ,14.840, , , , , , 
415,30 Apr 1955, 24:00, , , ,6.253, , , , , , 
416,31 May 1955, 24:00, , , ,13.137, , , , , , 
417,30 Jun 1955, 24:00, , , ,13.157, , , , , , 
418,31 Jul 1955, 24:00, , , ,11.373, , , , , , 
419,31 Aug 1955, 24:00, , , ,13.347, , , , , , 
420,30 Sep 1955, 24:00, , , ,0.080, , , , , , 
421,31 Oct 1955, 24:00, , , ,6.859, , , , , , 
422,30 Nov 1955, 24:00, , , ,10.968, , , , , , 
423,31 Dec 1955, 24:00, , , ,15.994, , , , , , 
424,31 Jan 1956, 24:00, , , ,15.921, , , , , , 
425,29 Feb 1956, 24:00, , , ,14.614, , , , , , 
426,31 Mar 1956, 24:00, , , ,15.911, , , , , , 
427,30 Apr 1956, 24:00, , , ,15.623, , , , , , 
428,31 May 1956, 24:00, , , ,15.705, , , , , , 
429,30 Jun 1956, 24:00, , , ,14.840, , , , , , 
430,31 Jul 1956, 24:00, , , ,15.180, , , , , , 
